timestart,timeend,confidence,target
2019-03-19 16:11:10.000,2019-03-19 16:11:14.979,1.0,-1
2019-03-19 16:11:15.000,2019-03-19 16:11:19.979,1.0,-1
2019-03-19 16:11:20.000,2019-03-19 16:11:24.979,1.0,-1
2019-03-19 16:11:25.000,2019-03-19 16:11:29.979,1.0,-1
2019-03-19 16:11:30.000,2019-03-19 16:11:34.979,1.0,-1
2019-03-19 16:11:35.000,2019-03-19 16:11:39.979,1.0,-1
2019-03-19 16:11:40.000,2019-03-19 16:11:44.979,1.0,-1
2019-03-19 16:11:45.000,2019-03-19 16:11:49.979,1.0,-1
2019-03-19 16:11:50.000,2019-03-19 16:11:54.979,1.0,-1
2019-03-19 16:11:55.000,2019-03-19 16:11:59.979,1.0,-1
2019-03-19 16:12:00.000,2019-03-19 16:12:04.980,1.0,-1
2019-03-19 16:12:05.000,2019-03-19 16:12:09.979,1.0,-1
2019-03-19 16:12:10.000,2019-03-19 16:12:14.979,1.0,-1
2019-03-19 16:12:15.000,2019-03-19 16:12:19.979,1.0,-1
2019-03-19 16:12:20.000,2019-03-19 16:12:24.979,1.0,-1
2019-03-19 16:12:25.000,2019-03-19 16:12:29.979,1.0,-1
2019-03-19 16:12:30.000,2019-03-19 16:12:34.979,1.0,-1
2019-03-19 16:12:35.000,2019-03-19 16:12:39.979,1.0,-1
2019-03-19 16:12:40.000,2019-03-19 16:12:44.979,1.0,-1
2019-03-19 16:12:45.000,2019-03-19 16:12:49.979,1.0,-1
2019-03-19 16:12:50.000,2019-03-19 16:12:54.979,1.0,-1
2019-03-19 16:12:55.000,2019-03-19 16:12:59.979,1.0,-1
2019-03-19 16:13:00.000,2019-03-19 16:13:04.980,1.0,-1
2019-03-19 16:13:05.000,2019-03-19 16:13:09.979,1.0,-1
2019-03-19 16:13:10.000,2019-03-19 16:13:14.979,1.0,-1
2019-03-19 16:13:15.000,2019-03-19 16:13:19.979,1.0,-1
2019-03-19 16:13:20.000,2019-03-19 16:13:24.979,1.0,-1
2019-03-19 16:13:25.000,2019-03-19 16:13:29.979,1.0,-1
2019-03-19 16:13:30.000,2019-03-19 16:13:34.979,1.0,-1
